PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Label
-153.33517,-1876.2767,-368.01202,-894.1009,-56.064552,91.582016,591.4617,1405.3448,0
-2802.3616,-998.5626,1817.4894,2120.9072,970.7463,-799.9276,-42.852203,85.73251,0
2870.391,2831.874,-974.9881,324.65472,-614.6409,-580.8362,1587.0883,467.69443,0
-3432.0693,714.4293,1295.9038,371.3473,-853.0827,-1021.1965,2099.1477,-558.35455,0
2734.6904,-1938.9647,900.5021,-281.48563,-765.38153,668.63696,-1160.367,300.23523,0
2111.9993,-1495.2234,-1777.4104,1276.063,-1408.9078,965.85846,2021.4484,930.4049,0
-1653.2998,1586.473,1440.7286,-3397.9692,61.63071,765.1659,-1027.8116,-22.733942,0
3394.6597,3220.964,-1721.712,-291.00592,1081.3745,-49.99547,-1028.1803,-2656.0122,0
-1894.738,1693.8871,-1074.4199,-1448.6372,18.121914,-182.06425,101.31578,651.3547,1
-1493.2233,384.8634,1779.26,-960.5373,-1635.3434,493.95648,-1429.9252,4.735645,1
-35.716587,-322.21368,-3389.3108,-1586.7799,-484.3318,-232.83762,-2396.8325,-69.55651,1
1423.4268,2465.6128,2703.444,698.32556,2052.764,782.9371,-514.74347,-1096.0077,1
-977.00037,-1478.3036,-334.51367,-1196.2992,172.81769,1806.1615,989.76355,295.10178,1
-3943.9458,-1805.5371,-333.959,-436.50482,322.2638,-1763.4015,284.46826,-408.68842,1
2112.73,-989.9454,-1992.7723,-1427.8458,743.0198,-30.9289,-2577.956,347.82858,1
-331.66248,3115.664,1303.1285,191.77594,887.3332,1144.8223,852.25433,-193.23866,1
-401.37482,2779.0312,1933.3802,490.16028,541.21515,869.5305,393.62357,-151.08331,1
573.6903,-125.086235,337.7835,-1069.8655,231.52399,-1556.8378,145.60246,-317.2682,1
-2995.8215,643.7436,958.94226,1993.2092,1372.478,-1987.267,-747.28253,370.76865,1
-1107.4381,1549.1534,692.09674,-1053.53,-977.90704,1137.8563,-142.2815,-879.4419,1
14.458134,528.8945,86.1358,-828.61456,293.8806,-1876.199,681.0543,-549.1608,1
-1885.684,1365.7687,-1003.7571,-1133.7611,-790.86505,157.40495,-941.7809,246.91412,1
-515.04736,1991.2471,289.4852,-371.2638,373.73447,-1632.2932,1454.0022,-730.8731,1
-2901.077,194.71385,783.66034,-1825.5522,-690.9885,-42.89653,-1725.3619,-55.102142,1
-1511.7524,903.67834,-498.2879,109.62109,-1381.7585,-558.98444,-1018.4163,1110.636,1
-1125.457,487.0118,-1435.8802,-1841.6089,-631.3023,-921.3679,525.2369,802.7561,1
1667.4976,1731.6761,-2840.6543,-1429.1238,953.6377,-1674.4198,-1089.2678,403.67523,1
1030.4866,2105.0417,-2138.3552,-870.59534,522.4297,-1882.7898,-14.721368,922.2491,1
596.0984,-614.5238,470.44604,-1293.4224,600.6879,-1242.8011,202.5409,-322.64157,1
-476.35403,2583.6484,-149.47914,-613.63464,284.00223,-1279.1997,1473.0343,24.684172,1
-711.3242,179.93466,-836.59375,-786.69763,514.33484,-1257.6628,-741.16895,861.5221,1
2910.9368,383.21732,-1217.2256,1296.5707,-1995.0123,-517.4666,2012.5502,1449.3036,1
-1089.6693,2060.1643,1363.5808,-583.54486,734.5408,891.6063,-1.6070184,-1149.9905,1
1432.8116,2153.7224,841.1552,630.57166,2174.023,1822.9309,-1103.8444,-851.5411,1
-2696.5908,-1661.268,-337.9106,2149.8352,481.96173,-670.6257,-133.15923,-129.07155,1
3078.2988,-1713.8395,1172.354,2008.0006,1322.4037,2334.1475,-340.93527,347.53287,1
-870.6829,736.9016,1218.646,-2628.1638,777.7086,-588.00757,-1125.5812,449.00064,1
-218.2748,1738.9707,768.48016,-23.867386,525.06696,767.22015,-308.00192,-1154.5471,1
-640.19696,1150.7944,-1301.6371,-881.8735,-1007.8803,-525.0314,-866.8721,400.35495,1
1446.9418,-1026.2424,-1563.1936,-2351.818,1367.5198,806.6421,1300.8994,-285.64978,1
-2669.0571,-1111.6282,-1245.5652,1136.3135,-111.11527,-1245.8446,969.9168,89.28311,1
